Compte	Intitulé	Nature	
10100000	Capital social	DIV	
10110000	Capital souscrit, non appelé	DIV	
10120000	Capital souscrit, appelé, non versé	DIV	
10130000	Capital souscrit, appelé, versé, non amorti	DIV	
10140000	Capital souscrit, appelé, versé, amorti	DIV	
10180000	Capital souscrit soumis à des conditions particulières	DIV	
10200000	Capital par dotation	DIV	
10210000	Dotation initiale	DIV	
10220000	Dotations complémentaires	DIV	
10280000	Autres dotations	DIV	
10300000	Capital personnel	DIV	
10400000	Compte de l'exploitant	DIV	
10410000	Apports temporaires	DIV	
10420000	Opérations courantes	DIV	
10430000	Rémunérations, impôts et autres charges personnelles	DIV	
10470000	Prélèvements d'autoconsommation	DIV	
10480000	Autres prélèvements	DIV	
10500000	Primes liées aux capitaux propres	DIV	
10510000	Primes d'émission	DIV	
10520000	Primes d'apport	DIV	
10530000	Primes de fusion	DIV	
10540000	Primes de conversion	DIV	
10580000	Autres primes	DIV	
10600000	Écarts de réévaluation	DIV	
10610000	Écarts de réévaluation légale	DIV	
10620000	Écarts de réévaluation libre	DIV	
10900000	Actionnaires, capital souscrit, non appelé	DIV	
11100000	Réserve légale	DIV	
11200000	Réserves statutaires ou contractuelles	DIV	
11300000	Réserves réglementées	DIV	
11310000	Réserves de plus-values nettes à long terme	DIV	
11330000	Réserves consécutives à l'octroi de subventions d'investisse	DIV	
11380000	Autres réserves réglementées	DIV	
11800000	Autres réserves	DIV	
11810000	Réserves facultatives	DIV	
11880000	Réserves diverses	DIV	
12100000	Report à nouveau créditeur	DIV	
12900000	Report à nouveau débiteur	DIV	
12910000	Perte nette à reporter	DIV	
12920000	Perte - Amortissements réputés différés	DIV	
13000000	Résultat en instance d'affectation	DIV	
13010000	Résultat en instance d'affectation : bénéfice	DIV	
13090000	Résultat en instance d'affectation : perte	DIV	
13100000	Résultat net : bénéfice	DIV	
13200000	Marge brute (MB)	DIV	
13210000	Marge brute sur marchandises	DIV	
13220000	Marge brute sur matières	DIV	
13300000	Valeur ajoutée (VA)	DIV	
13400000	Excédent brut d'exploitation (EBE)	DIV	
13500000	Résultat d'exploitation (RE)	DIV	
13600000	Résultat financier (RF)	DIV	
13700000	Résultat des activités ordinaires (RAO)	DIV	
13800000	Résultat hors activités ordinaires (RHAO)	DIV	
13900000	Résultat net : perte	DIV	
14100000	Subventions d'équipement A	DIV	
14110000	État	DIV	
14120000	Régions	DIV	
14130000	Départements	DIV	
14140000	Communes et collectivités publiques décentralisées	DIV	
14150000	Entreprises publiques ou mixtes	DIV	
14160000	Entreprises et organismes privés	DIV	
14170000	Organismes internationaux	DIV	
14180000	Autres	DIV	
14200000	Subventions d'équipement B	DIV	
14800000	Autres subventions d'investissement	DIV	
15100000	Amortissements dérogatoires	DIV	
15200000	Plus-values de cession à réinvestir	DIV	
15300000	Fonds réglementés	DIV	
15310000	Fonds National	DIV	
15320000	Prélèvement pour le Budget	DIV	
15400000	Provision spéciale de réévaluation	DIV	
15500000	Provisions réglementées relatives aux immobilisations	DIV	
15510000	Reconstitution des gisements miniers et pétroliers	DIV	
15600000	Provisions réglementées relatives aux stocks	DIV	
15610000	Hausse de prix	DIV	
15620000	Fluctuation des cours	DIV	
15700000	Provisions pour investissement	DIV	
15800000	Autres provisions et fonds réglementés	DIV	
16100000	Emprunts obligataires	DIV	
16110000	Emprunts obligataires ordinaires	DIV	
16120000	Emprunts obligataires convertibles	DIV	
16180000	Autres emprunts obligataires	DIV	
16200000	Emprunts et dettes auprès des établissements de crédit	DIV	
16300000	Avances reçues de l'état	DIV	
16400000	Avances reçues et comptes courants bloqués	DIV	
16500000	Dépôts et cautionnements reçus	DIV	
16510000	Dépôts	DIV	
16520000	Cautionnements	DIV	
16600000	Intérêts courus (classe 1 - emprunts)	DIV	
16610000	Intérêts courus sur emprunts obligataires	DIV	
16620000	Intérêts courus sur emprunts et dettes auprès des établissem	DIV	
16630000	Intérêts courus sur avances reçues de l'État	DIV	
16640000	Intérêts courus sur avances reçues et comptes courants bloqu	DIV	
16650000	Intérêts courus sur dépôts et cautionnements reçus	DIV	
16670000	Intérêts courus sur avances assorties de conditions particul	DIV	
16680000	Intérêts courus sur autres emprunts et dettes	DIV	
16700000	Avances assorties de conditions particulières	DIV	
16710000	Avances bloquées pour augmentation du capital	DIV	
16720000	Avances conditionnées par l'État	DIV	
16730000	Avances conditionnées par les autres organismes africains	DIV	
16740000	Avances conditionnées par les organismes internationaux	DIV	
16760000	Droits du concédant exigibles en nature	DIV	
16800000	Autres emprunts et dettes	DIV	
16810000	Rentes viagères capitalisées	DIV	
16820000	Billets de fonds	DIV	
16830000	Dettes consécutives à des titres empruntés	DIV	
16840000	Dettes du concédant exigibles en nature	DIV	
16850000	Emprunts participatifs	DIV	
16860000	Participation des travailleurs aux bénéfices	DIV	
17200000	Emprunts équivalents de crédit-bail immobilier	DIV	
17300000	Emprunts équivalents de crédit-bail mobilier	DIV	
17600000	Intérêts courus (classe 1 - crédit-bail)	DIV	
17620000	Intérêts courus sur emprunts équivalents de crédit-bail immo	DIV	
17630000	Intérêts courus sur emprunts équivalents de crédit-bail mobi	DIV	
17680000	Intérêts courus sur emprunts équivalents d'autres contrats	DIV	
17800000	Emprunts équivalents d'autres contrats	DIV	
18100000	Dettes liées à des participations	DIV	
18110000	Dettes liées à des participations (groupe)	DIV	
18120000	Dettes liées à des participations (hors groupe)	DIV	
18200000	Dettes liées à des sociétés en participation	DIV	
18300000	Intérêts courus sur dettes liées à des participations	DIV	
18400000	Comptes permanents bloqués des établissements et succursales	DIV	
18500000	Comptes permanents non bloqués des établissements et succurs	DIV	
18600000	Comptes de liaison charges	DIV	
18700000	Comptes de liaison produits	DIV	
18800000	Comptes de liaison des sociétés en participation	DIV	
19100000	Provisions pour litiges	DIV	
19200000	Provisions pour garanties données aux clients	DIV	
19300000	Provisions pour pertes sur marchés à achèvement futur	DIV	
19400000	Provisions pour pertes de change	DIV	
19500000	Provisions pour impôts	DIV	
19600000	Provisions pour pensions et obligations similaires	DIV	
19700000	Provisions pour charges à répartir sur plusieurs exercices	DIV	
19710000	Provisions pour grosses réparations	DIV	
19800000	Autres provisions financières pour risques et charges	DIV	
19810000	Provisions pour amendes et pénalités	DIV	
19820000	Provisions pour renouvellement des immobilisations (concessi	DIV	
19830000	Provisions de propre assureur	DIV	
19880000	Autres provisions financières pour risques et charges	DIV	
20100000	Frais d'établissement	IMO	
20110000	Frais de constitution	IMO	
20120000	Frais de prospection	IMO	
20130000	Frais de publicité et de lancement	IMO	
20140000	Frais de fonctionnement antérieurs au démarrage	IMO	
20150000	Frais de modification du capital (fusions, scissions, transf	IMO	
20160000	Frais d'entrée à la Bourse	IMO	
20170000	Frais de restructuration	IMO	
20180000	Frais divers d'établissement	IMO	
20200000	Charges à répartir sur plusieurs exercices	IMO	
20210000	Charges différées	IMO	
20220000	Frais d'acquisition d'immobilisations	IMO	
20260000	Frais d'émission des emprunts	IMO	
20280000	Charges à étaler	IMO	
20600000	Primes de remboursement des obligations	IMO	
20610000	Obligations ordinaires	IMO	
20620000	Obligations convertibles	IMO	
20680000	Autres emprunts obligataires	IMO	
21100000	Frais de recherche et de développement	IMO	
21200000	Brevets, licences, concessions et droits similaires	IMO	
21300000	Logiciels	IMO	
21400000	Marques	IMO	
21500000	Fonds commercial	IMO	
21600000	Droit au bail	IMO	
21700000	Investissements de création	IMO	
21800000	Autres droits et valeurs incorporels	IMO	
21900000	Immobilisations incorporelles en cours	IMO	
21910000	Frais de recherche et de développement en cours	IMO	
21930000	Logiciels en cours	IMO	
21980000	Autres droits et valeurs incorporels en cours	IMO	
22100000	Terrains agricoles et forestiers	IMO	
22110000	Terrains d'exploitation agricole	IMO	
22120000	Terrains d'exploitation forestière	IMO	
22180000	Autres terrains agricoles et forestiers	IMO	
22200000	Terrains nus	IMO	
22210000	Terrains à bâtir	IMO	
22280000	Autres terrains nus	IMO	
22300000	Terrains bâtis	IMO	
22310000	Terrains pour bâtiments industriels et agricoles	IMO	
22320000	Terrains pour bâtiments administratifs et commerciaux	IMO	
22340000	Terrains pour bâtiments affectés aux autres opérations profe	IMO	
22350000	Terrains pour bâtiments affectés aux autres opérations non p	IMO	
22380000	Autres terrains bâtis	IMO	
22400000	Travaux de mise en valeur des terrains	IMO	
22410000	Plantation d'arbres et d'arbustes	IMO	
22480000	Autres travaux de mise en valeur des terrains	IMO	
22500000	Terrains de gisement	IMO	
22510000	Carrières	IMO	
22600000	Terrains aménagés	IMO	
22610000	Parkings	IMO	
22700000	Terrains mis en concession	IMO	
22800000	Autres terrains	IMO	
22810000	Terrains des immeubles de rapport	IMO	
22850000	Terrains des logements affectés au personnel	IMO	
22880000	Autres terrains	IMO	
22900000	Aménagements de terrains en cours	IMO	
22910000	Terrains agricoles et forestiers en cours	IMO	
22920000	Terrains nus en cours	IMO	
22950000	Terrains de gisement en cours	IMO	
22980000	Autres terrains en cours	IMO	
23100000	Bâtiments industriels, agricoles, administratifs et commerci	IMO	
23110000	Bâtiments industriels (sol propre)	IMO	
23120000	Bâtiments agricoles (sol propre)	IMO	
23130000	Bâtiments administratifs et commerciaux (sol propre)	IMO	
23140000	Bâtiments affectés au logement du personnel (sol propre)	IMO	
23150000	Immeubles de rapport (sol propre)	IMO	
23200000	Bâtiments industriels, agricoles, administratifs et commerci	IMO	
23210000	Bâtiments industriels (sol d'autrui)	IMO	
23220000	Bâtiments agricoles (sol d'autrui)	IMO	
23230000	Bâtiments administratifs et commerciaux (sol d'autrui)	IMO	
23240000	Bâtiments affectés au logement du personnel (sol d'autrui)	IMO	
23250000	Immeubles de rapport (sol d'autrui)	IMO	
23300000	Ouvrages d'infrastructure	IMO	
23310000	Voies de terre	IMO	
23320000	Voies de fer	IMO	
23330000	Voies d'eau	IMO	
23340000	Barrages, Digues	IMO	
23350000	Pistes d'aérodrome	IMO	
23380000	Autres ouvrages d'infrastructure	IMO	
23400000	Installations techniques	IMO	
23410000	Installations complexes spécialisées sur sol propre	IMO	
23420000	Installations complexes spécialisées sur sol d'autrui	IMO	
23430000	Installations à caractère spécifique sur sol propre	IMO	
23440000	Installations à caractère spécifique sur sol d'autrui	IMO	
23500000	Aménagements de bureaux	IMO	
23510000	Installations générales	IMO	
23580000	Autres aménagements de bureaux	IMO	
23700000	Bâtiments industriels, agricoles et commerciaux mis en conce	IMO	
23800000	Autres installations et agencements	IMO	
23900000	Bâtiments et installations en cours	IMO	
24100000	Matériel et outillage industriel et commercial	IMO	
24110000	Matériel industriel	IMO	
24120000	Outillage industriel	IMO	
24130000	Matériel commercial	IMO	
24140000	Outillage commercial	IMO	
24200000	Matériel et outillage agricole	IMO	
24210000	Matériel agricole	IMO	
24220000	Outillage agricole	IMO	
24300000	Matériel d'emballage récupérable et identifiable	IMO	
24400000	Matériel et mobilier	IMO	
24410000	Matériel de bureau	IMO	
24420000	Matériel informatique	IMO	
24430000	Matériel bureautique	IMO	
24440000	Mobilier de bureau	IMO	
24460000	Matériel et mobilier des immeubles de rapport	IMO	
24470000	Matériel et mobilier des logements du personnel	IMO	
24500000	Matériel de transport	IMO	
24510000	Matériel automobile	IMO	
24520000	Matériel ferroviaire	IMO	
24530000	Matériel fluvial, lagunaire	IMO	
24540000	Matériel naval	IMO	
24550000	Matériel aérien	IMO	
24560000	Matériel hippomobile	IMO	
24580000	Autres matériels de transport (vélo, mobylette, moto)	IMO	
24600000	Immobilisations animales et agricoles	IMO	
24610000	Cheptel, animaux de trait	IMO	
24620000	Cheptel, animaux reproducteurs	IMO	
24630000	Animaux de garde	IMO	
24650000	Plantations agricoles	IMO	
24680000	Autres immobilisations animales et agricoles	IMO	
24700000	Agencements et aménagements du matériel	IMO	
24800000	Autres matériels	IMO	
24810000	Collections et œuvres d'art	IMO	
24900000	Matériel en cours	IMO	
24910000	Matériel et outillage industriel et commercial en cours	IMO	
24920000	Matériel et outillage agricole en cours	IMO	
24930000	Matériel d'emballage récupérable et identifiable en cours	IMO	
24940000	Matériel et mobilier de bureau en cours	IMO	
24950000	Matériel de transport en cours	IMO	
24960000	Immobilisations animales et agricoles en cours	IMO	
24970000	Agencements et aménagements du matériel en cours	IMO	
24980000	Autres matériels en cours	IMO	
25100000	Avances et acomptes versés sur immobilisations incorporelles	IMO	
25200000	Avances et acomptes versés sur immobilisations corporelles	IMO	
26100000	Titres de participation dans des sociétés sous contrôle excl	IMO	
26200000	Titres de participation dans des sociétés sous contrôle conj	IMO	
26300000	Titres de participation dans des sociétés conférant une infl	IMO	
